Unnamed: 0.1,brand,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,Ram_numeric,ROM_numeric,display_size_numeric,price_category,processor_gen,brand_encoded,processor_encoded,CPU_encoded,Ram_type_encoded,ROM_type_encoded,GPU_encoded,OS_encoded,aspect_ratio,screen_area,ram_rom_ratio,performance_score,is_gaming
740,Lenovo,119888,75.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,DDR4,1TB,SSD,Intel Integrated,14.0,1920.0,1080.0,Windows 10 OS,1,16.0,1.0,14.0,High-end,11.0,14,27,28,2,1,102,10,1.7777777777777777,98.0,16.0,31.7,0
741,Hp,22990,69.32352941176471,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",4GB,DDR4,256GB,SSD,AMD Integrated,15.6,1920.0,1080.0,Windows 11 OS,1,4.0,256.0,15.6,Budget,,10,82,16,2,1,70,12,1.7777777777777777,121.67999999999999,0.015625,25.99705882352941,0
742,Lenovo,76888,67.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,LPDDR4X,512GB,SSD,AMD Radeon Graphics,13.3,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,13.3,Premium,7.0,14,131,19,6,1,80,12,1.6,88.44500000000001,0.03125,27.699999999999996,0
743,Dell,256990,85.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA RTX 4050,15.6,3456.0,2160.0,Windows 11 OS,1,16.0,1.0,15.6,High-end,13.0,6,73,8,4,1,55,12,1.6,121.67999999999999,16.0,35.5,1
744,Dell,83090,60.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.3,2560.0,1600.0,Windows 11 OS,1,16.0,512.0,13.3,Premium,13.0,6,59,6,8,1,123,12,1.6,88.44500000000001,0.03125,28.0,0
745,Dell,67999,65.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,2GB NVIDIA GeForce MX450,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,11.0,6,22,28,2,1,12,12,1.7777777777777777,121.67999999999999,0.03125,28.7,1
746,Acer,96256,72.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,12.0,0,51,8,2,1,33,12,1.7777777777777777,121.67999999999999,0.03125,31.2,1
747,Msi,77990,63.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,14.0,Premium,12.0,17,39,6,8,1,111,12,1.7777777777777777,98.0,0.03125,28.5,0
749,Dell,323290,85.0,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",32GB,DDR5,1TB,SSD,12GB NVIDIA GeForce RTX 4080,16.0,3200.0,1800.0,Windows 11 OS,1,32.0,1.0,16.0,High-end,13.0,6,76,14,4,1,3,12,1.7777777777777777,128.0,32.0,40.3,1
750,Dell,67990,65.0,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Radeon,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,14.0,Premium,5.0,6,118,24,2,1,82,12,1.7777777777777777,98.0,0.03125,26.3,0
